Date,Inverter,Energy,
3/6/2022,3,10959.8,
3/7/2022,3,12724.7,
3/8/2022,3,13010.2,
3/9/2022,3,11763.5,
3/10/2022,3,4148.7,
3/11/2022,3,9849.3,
3/12/2022,3,13293.6,
3/13/2022,3,10956.1,
3/14/2022,3,13483.6,
3/15/2022,3,6740.5,
3/16/2022,3,13833.5,
3/17/2022,3,6735.1,
3/18/2022,3,12677.7,
3/19/2022,3,2686.3,
3/20/2022,3,2495.4,
3/21/2022,3,8480.1,
3/22/2022,3,13706.8,
3/23/2022,3,11853.7,
3/24/2022,3,13742.5,
3/25/2022,3,11519.4,
3/26/2022,3,13384.8,
3/27/2022,3,11992.5,
3/28/2022,3,5053.9,
3/29/2022,3,8570.7,
3/30/2022,3,11587.9,
3/31/2022,3,12718.7,
4/1/2022,3,13663.8,
4/2/2022,3,13310.7,
4/3/2022,3,12576.2,
4/4/2022,3,12257.4,
4/5/2022,3,15000.8,
4/6/2022,3,14846.8,
4/7/2022,3,14330.3,
4/8/2022,3,14493.2,
4/9/2022,3,15156.8,
4/10/2022,3,14559.5,
4/11/2022,3,9723.8,
4/12/2022,3,4762.5,
4/13/2022,3,9797.1,
4/14/2022,3,13163.9,
4/15/2022,3,12965.6,
4/16/2022,3,10509.2,
4/17/2022,3,10802.3,
4/18/2022,3,13485.0,
4/19/2022,3,13473.7,
4/20/2022,3,15964.8,
4/21/2022,3,5748.4,
4/22/2022,3,11610.2,
4/23/2022,3,16339.7,
4/24/2022,3,15542.3,
4/25/2022,3,14526.5,
4/26/2022,3,10171.2,
4/27/2022,3,15311.9,
4/28/2022,3,11935.6,
4/29/2022,3,16430.4,
4/30/2022,3,16138.3,
5/1/2022,3,12343.0,
5/2/2022,3,16097.6,
5/3/2022,3,16883.6,
5/4/2022,3,14728.8,
5/5/2022,3,14293.4,
5/6/2022,3,16340.7,
5/7/2022,3,14624.8,
5/8/2022,3,15570.7,
5/9/2022,3,12780.0,
5/10/2022,3,13369.7,
5/11/2022,3,5114.7,
5/12/2022,3,5568.2,
5/13/2022,3,16542.3,
5/14/2022,3,16580.4,
5/15/2022,3,14122.8,
5/16/2022,3,16526.0,
5/17/2022,3,16299.5,
5/18/2022,3,16196.2,
5/19/2022,3,14226.1,
5/20/2022,3,16640.2,
5/21/2022,3,17413.2,
5/22/2022,3,12476.3,
5/23/2022,3,15216.3,
5/24/2022,3,16441.9,
5/25/2022,3,14046.6,
5/26/2022,3,14736.9,
5/27/2022,3,14605.6,
5/28/2022,3,14808.3,
5/29/2022,3,17124.7,
5/30/2022,3,17329.2,
5/31/2022,3,17437.1,
6/1/2022,3,16957.5,
6/2/2022,3,14691.2,
6/3/2022,3,15289.9,
6/4/2022,3,13847.0,
6/5/2022,3,16630.2,
6/6/2022,3,16973.5,
6/7/2022,3,16668.3,
6/8/2022,3,15787.6,
6/9/2022,3,15238.5,
6/10/2022,3,16986.4,
6/11/2022,3,16962.7,
6/12/2022,3,15036.6,
6/13/2022,3,17509.9,
6/14/2022,3,17711.6,
6/15/2022,3,17765.5,
6/16/2022,3,17372.2,
6/17/2022,3,12374.7,
6/18/2022,3,17524.8,
6/19/2022,3,17776.0,
6/20/2022,3,17485.5,
6/21/2022,3,16401.6,
6/22/2022,3,10142.7,
6/23/2022,3,15533.8,
6/24/2022,3,16009.3,
6/25/2022,3,16614.6,
6/26/2022,3,16983.1,
6/27/2022,3,17049.2,
6/28/2022,3,17054.5,
6/29/2022,3,16812.4,
6/30/2022,3,17255.0,
7/1/2022,3,16361.4,
7/2/2022,3,16927.8,
7/3/2022,3,13018.6,
7/4/2022,3,11577.4,
7/5/2022,3,16588.2,
7/6/2022,3,15110.9,
7/7/2022,3,16655.1,
7/8/2022,3,16044.4,
7/9/2022,3,16780.3,
7/10/2022,3,16954.8,
7/11/2022,3,16400.5,
7/12/2022,3,16126.2,
7/13/2022,3,16449.8,
7/14/2022,3,16173.7,
7/15/2022,3,16316.7,
7/16/2022,3,16060.7,
7/17/2022,3,15156.6,
7/18/2022,3,10525.5,
7/19/2022,3,15782.5,
7/20/2022,3,15897.2,
7/21/2022,3,16282.1,
7/22/2022,3,16394.8,
7/23/2022,3,16216.5,
7/24/2022,3,16178.9,
7/25/2022,3,15961.4,
7/26/2022,3,15756.7,
7/27/2022,3,14982.1,
7/28/2022,3,14443.3,
7/29/2022,3,13897.2,
7/30/2022,3,13063.2,
7/31/2022,3,7684.3,
8/1/2022,3,11141.3,
8/2/2022,3,14183.2,
8/3/2022,3,13932.6,
8/4/2022,3,10671.9,
8/5/2022,3,10794.6,
8/6/2022,3,15377.4,
8/7/2022,3,15364.4,
8/8/2022,3,13775.8,
8/9/2022,3,14395.0,
8/10/2022,3,15081.9,
8/11/2022,3,15100.6,
8/12/2022,3,15200.7,
8/13/2022,3,15006.5,
8/14/2022,3,15263.7,
8/15/2022,3,14830.8,
8/16/2022,3,14295.1,
8/17/2022,3,11381.8,
8/18/2022,3,14083.0,
8/19/2022,3,14286.7,
8/20/2022,3,14130.8,
8/21/2022,3,14028.1,
8/22/2022,3,14313.2,
8/23/2022,3,14099.7,
8/24/2022,3,13312.8,
8/25/2022,3,13360.3,
8/26/2022,3,13543.4,
8/27/2022,3,12717.8,
8/28/2022,3,13688.0,
8/29/2022,3,13246.9,
8/30/2022,3,13133.1,
8/31/2022,3,13258.0,
9/1/2022,3,13161.0,
9/2/2022,3,12786.2,
9/3/2022,3,13149.4,
9/4/2022,3,12635.2,
9/5/2022,3,12080.0,
9/6/2022,3,11854.0,
9/7/2022,3,2651.3,
9/8/2022,3,10481.7,
9/9/2022,3,11158.6,
9/10/2022,3,5931.5,
9/11/2022,3,11615.4,
9/12/2022,3,13158.9,
9/13/2022,3,11482.1,
9/14/2022,3,14548.1,
9/15/2022,3,10790.1,
9/16/2022,3,19370.6,
9/17/2022,3,18826.7,
9/18/2022,3,8166.5,
9/19/2022,3,5517.4,
9/20/2022,3,20060.1,
9/21/2022,3,19178.0,
9/22/2022,3,20201.9,
9/23/2022,3,19384.7,
9/24/2022,3,18605.5,
9/25/2022,3,17552.7,
9/26/2022,3,17907.7,
9/27/2022,3,18205.8,
9/28/2022,3,18106.6,
9/29/2022,3,18025.5,
9/30/2022,3,17765.0,
10/1/2022,3,17524.6,
10/2/2022,3,17759.2,
10/3/2022,3,0.0,
10/4/2022,3,17177.7,
10/5/2022,3,16478.9,
10/6/2022,3,16032.2,
10/7/2022,3,16110.3,
10/8/2022,3,15960.8,
10/9/2022,3,15987.6,
10/10/2022,3,15907.8,
10/11/2022,3,15849.7,
10/12/2022,3,15421.9,
10/13/2022,3,15051.9,
10/14/2022,3,15182.8,
10/15/2022,3,14869.5,
